Ptr.pUmem_Sta_ProgPos[9]  Ptr.pUmem_Sta_ProgPos[10]  Ptr.pUmem_Sta_Velocity[11]
-31355.00000000000000000 44779.00000000000000000 0.00000000000000000
-31355.00000000000000000 44779.00000000000000000 0.00000000000000000
-31281.00000000000000000 44673.00000000000000000 0.00000000000000000
-31206.00000000000000000 44566.00000000000000000 0.00000000000000000
-31132.00000000000000000 44460.00000000000000000 0.00000000000000000
-31063.00000000000000000 44361.00000000000000000 0.00000000000000000
-31063.00000000000000000 44361.00000000000000000 0.00000000000000000
-30988.00000000000000000 44255.00000000000000000 0.00000000000000000
-30920.00000000000000000 44156.00000000000000000 0.00000000000000000
-30845.00000000000000000 44050.00000000000000000 13.00000000000000000
-30776.00000000000000000 43952.00000000000000000 13.00000000000000000
-30776.00000000000000000 43952.00000000000000000 13.00000000000000000
-30702.00000000000000000 43845.00000000000000000 13.00000000000000000
-30633.00000000000000000 43747.00000000000000000 13.00000000000000000
-30558.00000000000000000 43640.00000000000000000 13.00000000000000000
-30558.00000000000000000 43640.00000000000000000 13.00000000000000000
-30489.00000000000000000 43542.00000000000000000 13.00000000000000000
-30415.00000000000000000 43436.00000000000000000 13.00000000000000000
-30340.00000000000000000 43329.00000000000000000 13.00000000000000000
-30271.00000000000000000 43231.00000000000000000 13.00000000000000000
-30271.00000000000000000 43231.00000000000000000 13.00000000000000000
-30197.00000000000000000 43124.00000000000000000 13.00000000000000000
-30122.00000000000000000 43018.00000000000000000 13.00000000000000000
-30053.00000000000000000 42920.00000000000000000 13.00000000000000000
-29979.00000000000000000 42813.00000000000000000 13.00000000000000000
-29979.00000000000000000 42813.00000000000000000 13.00000000000000000
-29910.00000000000000000 42715.00000000000000000 27.00000000000000000
-29836.00000000000000000 42608.00000000000000000 27.00000000000000000
-29761.00000000000000000 42502.00000000000000000 27.00000000000000000
-29692.00000000000000000 42404.00000000000000000 27.00000000000000000
-29692.00000000000000000 42404.00000000000000000 27.00000000000000000
-29623.00000000000000000 42305.00000000000000000 27.00000000000000000
-29549.00000000000000000 42199.00000000000000000 27.00000000000000000
-29474.00000000000000000 42092.00000000000000000 27.00000000000000000
-29400.00000000000000000 41986.00000000000000000 27.00000000000000000
-29400.00000000000000000 41986.00000000000000000 27.00000000000000000
-29331.00000000000000000 41887.00000000000000000 27.00000000000000000
-29256.00000000000000000 41781.00000000000000000 27.00000000000000000
-29187.00000000000000000 41683.00000000000000000 27.00000000000000000
-29113.00000000000000000 41576.00000000000000000 27.00000000000000000
-29113.00000000000000000 41576.00000000000000000 27.00000000000000000
-29038.00000000000000000 41470.00000000000000000 27.00000000000000000
-28969.00000000000000000 41371.00000000000000000 13.00000000000000000
-28895.00000000000000000 41265.00000000000000000 13.00000000000000000
-28895.00000000000000000 41265.00000000000000000 13.00000000000000000
-28826.00000000000000000 41167.00000000000000000 13.00000000000000000
-28751.00000000000000000 41060.00000000000000000 13.00000000000000000
-28677.00000000000000000 40954.00000000000000000 13.00000000000000000
-28608.00000000000000000 40855.00000000000000000 13.00000000000000000
-28608.00000000000000000 40855.00000000000000000 13.00000000000000000
-28534.00000000000000000 40749.00000000000000000 13.00000000000000000
-28465.00000000000000000 40651.00000000000000000 13.00000000000000000
-28390.00000000000000000 40544.00000000000000000 13.00000000000000000
-28316.00000000000000000 40438.00000000000000000 13.00000000000000000
-28316.00000000000000000 40438.00000000000000000 13.00000000000000000
-28247.00000000000000000 40339.00000000000000000 13.00000000000000000
-28172.00000000000000000 40233.00000000000000000 13.00000000000000000
-28103.00000000000000000 40135.00000000000000000 13.00000000000000000
-28029.00000000000000000 40028.00000000000000000 54.00000000000000000
-28029.00000000000000000 40028.00000000000000000 54.00000000000000000
-27954.00000000000000000 39922.00000000000000000 54.00000000000000000
-27885.00000000000000000 39823.00000000000000000 54.00000000000000000
-27811.00000000000000000 39717.00000000000000000 54.00000000000000000
-27742.00000000000000000 39618.00000000000000000 54.00000000000000000
-27742.00000000000000000 39618.00000000000000000 54.00000000000000000
-27667.00000000000000000 39512.00000000000000000 54.00000000000000000
-27593.00000000000000000 39405.00000000000000000 54.00000000000000000
-27524.00000000000000000 39307.00000000000000000 54.00000000000000000
-27449.00000000000000000 39201.00000000000000000 54.00000000000000000
-27449.00000000000000000 39201.00000000000000000 54.00000000000000000
-27375.00000000000000000 39094.00000000000000000 54.00000000000000000
-27306.00000000000000000 38996.00000000000000000 54.00000000000000000
-27232.00000000000000000 38889.00000000000000000 54.00000000000000000
-27232.00000000000000000 38889.00000000000000000 54.00000000000000000
-27157.00000000000000000 38783.00000000000000000 54.00000000000000000
-27088.00000000000000000 38685.00000000000000000 80.00000000000000000
